Abisara attenuata;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Taractrocera maevius;"Kanchipuram Urban District, MSR City, SVCE, Pashan, Mysore District, Bengaluru  Rural District, Pyramid Valley, Chamrajnagar District, Botanical Gardens, Jukhala, Goverment Guest House, Ballari District, Ramnagar district, Camp Geedee, Whitefield, Howrah District, Gadag District, Ragihalli, nr Shivanasamudra, Savandurga SF, Karnataka, Solapur, Mandya District, Guindy NP, Hulkoti, Anantapur District, Sriperumbudur, Paschimbanga, Daroji Sloth Bear Sanctuary, Tamil Nadu, Himachal Pradesh, Hesaraghatta Lake, Assam University Campus, Solapur District, Chennai District, Jarkabandi SF, Pune District, Upparahal, Assam, Kanakpura Taluk, Bangalore University Campus, Bengaluru Urban District, Marathalli, Taralu, Silchar, Cachar District, India, Channasandra, Bengaluru, Chukki Mane, Ponmudi, Lingambudhi Lake, Andhra Pradesh, Pune, Maharashtra, Jalahalli, Magadi Taluk, J.P. Nagar RF, Lepakshi, Chik Yelchetti, Bilaspur District, Mysore City"
Taraka hamada;"South Garo Hills District, Lower Mukrung, Old Jirang, South Sikkim District, Ziro, Pabung Khola, North Sikkim District, Hoollongapar Gibbon Sanctuary, Changlang District, Deban, Baghmara RF, Karwani, Sikkim, Namprikdang, Lower Subansiri District, Buxa TR, Ri Bhoi District, Paschimbanga, Dzongu, Alipurduar District, Mawlong-Terna Road, Assam, Namdapha NP, India, Miao-Deban Road, East Khasi Hills District, Jorhat District, Meghalaya, West Sikkim District, Arunachal Pradesh"
Tarucus ananda;"South Goa District, Kerala, Phansad WLS, Jayanti, Sanjay Gandhi NP, Pakke TR, Karnataka, Buxa TR, Banasura Sagar Dam, Udupi District, Cotigao WLS, Kudlu Teertha, Tongkolong WLS, Mara Autonomous District, Paschimbanga, Wayanad WLS, Idukki District, Raigad District, Balgaon Range, Jalpaiguri District, Sindhudurg District, Odisha, Pathanamthitta District, Alipurduar District, Goa, Radhanagari WLS, Thane District, Sabarimala, India, Periyar TR, Gorumara NP, Someshwara WLS, Yeoor, Mizoram, Dhuanali Beat, Maharashtra, Aralam WLS, Kolhapur District, Amboli, Kannur  District, Wayanad District, Chilapata WLS, East Kameng District, Arunachal Pradesh, Khordha District"
Tarucus balkanicus;"IIT Bombay, Chandigarh, Umele, Baidyabati, Pashan, Hooghly District, Satara, Chinchoti, Pelhar Dam, Sanpada, Tansa WLS, Ratnagiri District, Paschimbanga, Bhandup Pumping Station, Bhatchala(south), Pune District, Thane District, Navi Mumbai, Mumbai Suburban District, Bardhaman District, India, Nalikul, Patiala Ki Rao Reserved Forest, Powai, Palghar District, Pune, Maharashtra, Satara District, Naigaon, Chandigarh District, Vasai, Chiplun, DVC Canal, Naigon"
Tarucus callinara;"Guru Ghasidas NP, Jabalpur, Chhattisgarh, Koriya District, Madhya Pradesh, Jabalpur District, India, Pachpedi"
Tarucus hazara;"India, Chandigarh, Chandigarh District, Patiala Ki Rao Reserved Forest"
Tarucus indica;"Near Khabeki Lake, Maharashtra, Karnataka, Chopda, Punjab Province, Jalgaon District, Khushab District, Soon Valley, Pakistan, India"
Tarucus nara;"IIT Bombay, Devgad, Coimbatore District, Pashan, Rahata Taluka, Jabalpur District, Mysore District, Ranjhi, Bhandariya Village, Ajoba, Gujarat, Ahmadnagar District, Boisar, Satara, Ayyanar Falls, Vadavalli, Howrah District, Chinchoti, Haveri District, Karnataka, Himayatsagar, Hyderabad Urban District, Marur Village, Chopda, Tansa WLS, Rajkot District, Anantapur District, Bali, Ratnagiri District, Paschimbanga, Lalitha Mahal Palace, Sindhudurg District, Tamil Nadu, Dahanu, Lonar, Pune District, Thane District, Madhya Pradesh, Buldana District, Mayureshwar wildlife sanctuary, Mumbai Suburban District, India, Agricultural University, Telangana, Betegaon, Powai, Palghar District, Jabalpur, Andhra Pradesh, Pune, Maharashtra, Satara District, Jalgaon District, Kadaramandalagi, Naigaon, Shahapur, Qutub Shahi Tombs, Chiplun, Virudhunagar District, Pachpedi, Byadgi Taluk"
Tarucus venosus;"Balpakram NP, Jammu and Kashmir, Srinagar, South Garo Hills District, Kullu, Punjab Province, Nadia District, Shimla District, Pakistan, Gagal, Nuripara, Kullu District, Uttarakhand, Dehradun District, Taxila, Rawalpindi District, Bairi, Wildlife Institute Of India, Paschimbanga, Himachal Pradesh, Srinagar District, Balpakram Plateau, Shankaracharya Temple Road, India, Shimla, Krishnanagar, Meghalaya, Bilaspur District, Asan Conservation Reserve"
Tarucus waterstradti;"Hoollongapar Gibbon Sanctuary, Jorhat District, Assam, Namdapha NP, Lunkai Nullah, Arunachal Pradesh, India, Changlang District, Deban"
Taxila haquinus;"Manipur, Mizoram, ChikhaTiang, Chandel District, Moulvibazar District, Lamshilu stream, Mamit District, Near Moulvibazar, Tongkolong WLS, Mara Autonomous District, Phura, Yangoupoki Lokchao WLS, India, Khengthong, Sylhet, Bangladesh"
Teinopalpus imperialis;"Manipur, Senapati District, Pange, West Kameng District, Lower Subansiri District, Near Tarin-Tiibe Khoke Pass,  Talle WLS, Eaglenest WLS, Ukhrul District, Arunachal Pradesh, India, close to Pange Range Office, Shirui Kashong Peak"
Telicota bambusae;"IIT Bombay, Bhalukpong Ghat, Pashan Lake, Baidyabati, Turahalli RF, Agalahatti, Bengaluru  Rural District, Kerala, Sakleshpur, Hoollongapar Gibbon Sanctuary, Satara, Hooghly District, Uttarakhand, Horsley Hills, Dehradun District, Sanjay Gandhi NP, Haveri District, Savandurga SF, Pakke TR, Karnataka, Krishnagiri District, Dibrugarh District, Wildlife Institute Of India, Ratnagiri District, Paschimbanga, Wayanad WLS, Nagla Block, Tamil Nadu, Alappuzha District, Gullatty RF, Sindhudurg District, Maharashtra Nature Park, Chittoor District, Aithan Dighola Gaon, Chennai District, Mararikkulam, Pune District, Thane District, Assam, Bengaluru Urban District, Kakkur, Mumbai Suburban District, Hanging Gardens, India, Malabar Hills, Powai, Mumbai City District, Indiranagar, Andhra Pradesh, Panshet, Maharashtra, Valley School, Manchanbele Dam, Jorhat District, Magadi Taluk, Kadaramandalagi, Satara District, Kozhikode District, Amboli, Wayanad District, Hassan District, J.P. Nagar RF, Chiplun, East Kameng District, DVC Canal, Tungareshwar WLS, Arunachal Pradesh, Byadgi Taluk"
Telicota colon;"Killikulam, Puttur, Tiruchchirappalli District, Aurangabad District, Mysore District, North Delhi District, Satara, Whitefield, Gaganbavda, Mukherjee Nagar, Sanjay Gandhi NP, Karnataka, Aurangabad, Nagla Block, Sindhudurg District, Tamil Nadu, Toothukudi District, Dakshina Kannada District, Thane District, Bengaluru Urban District, Agricultural College & Research Institute, Hanging Gardens, India, Channasandra, Sukhna Dam, Malabar Hills, Mumbai City District, Jijamata Udyaan, Lingambudhi Lake, Maharashtra, Byculla, Satara District, Kolhapur District, Amboli, J.P. Nagar RF, Delhi, Mathur, Mysore City"
Telinga adolphei;"Lamb's Rock, Carrington Forest, Karnataka, Tadiandamol, Nilgiri District, Tamil Nadu, India, Longwood Shola, Kodagu District, Coonoor"
Telinga davisoni;"Chinnar WLS, Pampadum Shola NP, Puthukkudy, Tamil Nadu, Kerala, Anamudi Shola NP, Sirumalai Forest Reserve, Idukki District, India, Dindigul District"
Telinga heri;"Sikkim, West Kameng District, Bomphu, Mangan, Pasingdang, North Sikkim District, Eaglenest WLS, Arunachal Pradesh, India, Upper Dzongu, Chungthang, Tingvong-Lingzya"
Telinga lepcha;"Tehri Garhwal District, Kedarnath Wildlife Sanctuary, Devalsari, India, Chamoli District, Uttarakhand"
Telinga malsara;"South Garo Hills District, Lunglei, Rangli, South Sikkim District, Sechu, Pabung Khola, North Sikkim District, Jayanti, Lunglei District, Sikkim, Namprikdang, Pasingdang, Buxa TR, East Sikkim District, Dzongu, Paschimbanga, Mangan-Chungthang Road, Nagaland, Upper Dzongu, Yangoupoki Lokchao WLS, Kohima District, Alipurduar District, Siju WLS, Tadubi, India, Manipur, Mizoram, Senapati District, Chandel District, Lamshilu stream, Meghalaya, Ring Khola"
Telinga malsarida;"Haldibari, Balpakram NP, South Garo Hills District, Hoollongapar Gibbon Sanctuary, Changlang District, Deban, Baghmara RF, Karwani, Phek District, Ultapani, Pakke TR, Dibrugarh District, Shatuza Village, Nagaland, Assam, Gongrot, Namdapha NP, India, Jorhat District, Jeypore RF, Meghalaya, East Kameng District, Jeypore-Dehing , Arunachal Pradesh, Kokrajhar District"
Telinga mestra;"Kohima District, East Khasi Hills District, West Kameng District, Bomphu to Hathi nala, Nagaland, Sohra, Meghalaya, Mawkisyiem, Cherrapunjee, Eaglenest WLS, Arunachal Pradesh, India, Khonoma"
Telinga misenus;"Haldibari, Anamika Falls, Namdapha NP, Arunachal Pradesh, India, Changlang District, Deban"
Telinga nicotia;"Kohima District, Sikkim, Namprikdang, Pakke TR, Pakke Kesang, Lower Subansiri District, Lingzya, Nagaland, Namprikdang Rest House, North Sikkim District, Ziro, East Kameng District, Dzongu, Arunachal Pradesh, India, Upper Dzongu, Tingvong-Lingzya, Khonoma"
Telinga oculus;"Pappathichola, Theni District, Pandipath, Megamalai Range, Mattuppetty Dam, Thiruvananthapuram  District, Outskirts of Munnar, Pampadum Shola NP, Shendurney WLS, Bonacaud, Tamil Nadu, Munnar-Mattupetty Rd (Via Silent Valley), Kerala, Pandimotta, Kardana Estate, Idukki District, India, Kollam District, Mannavan Shola, Anamudi Shola NP"
Thaduka multicaudata;"Kovai Kutralam, Vilangad, Coimbatore District, Malappuram, Padinhattumuri, Aralam WLS, Kannur  District, Kozhikode District, Tamil Nadu, Malappuram District, Kerala, Siruvani, India"
Thaumantis diores;"Balpakram NP, South Garo Hills District, Ngengpui WLS, Champhai District, Hoollongapar Gibbon Sanctuary, Changlang District, Santalabari, Nongriat, Deban, Baghmara RF, Karwani, Pakke TR, Buxa TR, Paschimbanga, Soraipung RF, Alipurduar District, Assam, Siju WLS, Gongrot, Namdapha NP, India, Mizoram, Anamika Falls, East Khasi Hills District, Jorhat District, Tinsukia District, Cherrapunjee, Meghalaya, East Kameng District, Arunachal Pradesh"
Thauria aliris;"Manipur, Chandel District, India, Taungoo, Myanmar, Sibong, Bago Region"
Thermozephyrus ataxus;"Dehradun District, Dhobi Ghat, Woodstock Nala, Mussoorie, India, Uttarakhand"
Thoressa astigmata;"Makkiyad, Honey Valley, Karnataka, Thiruvananthapuram  District, Mananthavadi, Kallar Valley, Periyar TR, Wayanad District, Hassan District, Kerala, Sakleshpur, Idukki District, India, Kodagu District, Makutta"
Thoressa cerata;"Mizoram, Sessa to Bhalukpong Road, Aizwal-Reiek Road, West Kameng District, Pakke TR, West Seijosa, Aizawl District, Vaipuanpho Camp, Khadi (Khari), East Kameng District, Namdapha NP, Arunachal Pradesh, India, Changlang District, Deban"
Thoressa evershedi;"Devarmalai, Sengeltheri, Tirunelveli District, Pathanamthitta District, Nagariar Estate, Achankovil River, Kalakkad Mundanthurai Tiger Reserve, Peermade, Tamil Nadu, Kerala, Virudhunagar District, Idukki District, India"
Thoressa honorei;"Coimbatore District, Kerala, Kallar, Karnataka, Ernakulam District, Parambikkulam WLS, Neendapara, Udupi District, Palakkad District, Idukki District, Tamil Nadu, Sindhudurg District, Dakshina Kannada District, Government Horticultural Garden, 13th Gate, Periyar TR, Todikana, India, Someshwara WLS, Maharashtra, Aralam WLS, Dharmasthala, Amboli, Kannur  District, Thekkady, Neriamangalam Painavu Road"
Thoressa hyrie;"Kohima District, Lower Dibang Valley District, West Kameng District, Hathi Nala, Dzulekie, Nagaland, Mehao WLS, Eaglenest WLS, Arunachal Pradesh, India, Khonoma"
Thoressa sitala;"Karnataka, Vythalmala, Kannur  District, Chelavara Water Falls, Kerala, India, Kodagu District"
Ticherra acte;"Manas NP, Haldibari, near Seijosa, South Garo Hills District, Dimapur District, Rangli, Mouling NP, Hoollongapar Gibbon Sanctuary, Changlang District, Jayanti, Deban, Baghmara RF, Karwani, Sikkim, Sukhanala, Pakke TR, Buxa TR, Dibrugarh District, Baksa District, Dimapur, Paschimbanga, East Sikkim District, Nagaland, 19th Mile, Alipurduar District, Assam, Mawlong-Terna Road, Upper Siang District, Namdapha NP, India, East Khasi Hills District, Jorhat District, Meghalaya, Chilapata WLS, East Kameng District, Jokai Reserve Forest, Arunachal Pradesh"
Tirumala limniace;"Bandipur TR, Kottayam District, Mahabaleshwar, Devgad, Coimbatore District, South Garo Hills District, Hyderabad, Iruppu Falls, Uma Maheshwaram, Kerala, Chintamani Kar Bird Sanctuary, Buxa TR, Paschimbanga, Jalpaiguri District, Tamil Nadu, Anamalais, Chhattisgarh, VIMS Medical College Garden, Osmania University, Banobitan, Bengaluru Urban District, Kakkur, Hanging Gardens, Pawalgarh Conservation Reserve, Raipur District, Top Slip, Malabar Hills, Pune, Amboli, Manglore, Gopalaswamy Betta, IIT Bombay, Balpakram NP, Gandhinagar, Satara, Kakolu, Jayanti, Pelhar Dam, Hyderabad Urban District, Bannerghatta RF, Alappuzha District, Dakshina Kannada District, Mararikkulam, Pune District, Ovalekar Wadi Butterfly Park, Gongrot, Mahbubnagar District, India, Telangana, Gorumara NP, Karle Home Stay, Panshet, Valley School, Meghalaya, Surat District, Ballari Taluk, Alibag, Nehru Zoological park, Gavier lake, Chamrajnagar District, Thane, Kolkata District, Near Kolar Village, Ramnagar district, South 24 Parganas District, Sanjay Gandhi NP, Karnataka, Ramoji Film City, Mahavir Harina Vanasthali NP, Lotus Pond, Indira Park, Kodagu District, Maharashtra Nature Park, Dwarka, Alipurduar District, Conservation Education Centre, Kumarakom, Emerald Hill Butterfly Garden, Rangareddi District, Mumbai City District, Maharashtra, Satara District, Jalgaon District, Kozhikode District, Hassan District, Kanakeshwar, Pashan, Shivaji Udyan, Gujarat, Mukha, Kanva Dam, Air Force Academy, Ballari District, Uttarakhand, Gandhinagar District, Kolkata, Indira Gandhi NP, Ernakulam District, Loyola College, Circuit House, Aluway, Sahakar Nagar, Sindhudurg District, Raigad District, Ramsai Butterfly Conservatory, Chennai District, Nainital District, Thane District, Butterfly Park, Mumbai Suburban District, Agara Lake, Bellary, Powai, West Delhi District, Kadri Hills, Vasai, Dundigal, Lalbagh Botanical Gardens, Delhi, Samajikvanikarn"
Tirumala septentrionis;"Bandipur TR, South Garo Hills District, Devarayanadurga, Cauvery WLS, Iruppu Falls, Kerala, Changlang District, Camp Geedee, Horsley Hills, Nedumpura, Lunglei District, Mandya District, Buxa TR, Khadi (Khari), Paschimbanga, Tamil Nadu, Soraipung RF, Bengaluru Urban District, Hanging Gardens, Malabar Hills, Vaniyambalam, Manipur, Gumalapuram Village, Andhra Pradesh, Thrissur District, Amboli, Chiplun, East Kameng District, Madhuvana Estate, Gopalaswamy Betta, Balpakram NP, Mysore District, Talakona Forest, North Sikkim District, Jayanti, Makutta, Savandurga SF, Pakke TR, Nagla Block, Dakshina Kannada District, Thiruvananthapuram  District, Kallar Valley, Sangkland, Devala, Assam, Gongrot, India, Senapati District, Mizoram, Valley School, Ganganahally, Cherrapunjee, Meghalaya, Alibag, Arunachal Pradesh, Sammilan Shetty's Butterfly Park, Sriharikota, Bengaluru  Rural District, Chamrajnagar District, Cubbon Park, Sanjay Gandhi NP, Ragihalli, Karnataka, Guindy NP, Ratnagiri District, Kodagu District, Jagmarla, Sirumalai Hill, Alipurduar District, Emerald Hill Butterfly Garden, Namdapha NP, Yeoor, Mumbai City District, East Khasi Hills District, Maharashtra, Nellore District, Kannur  District, Tinsukia District, Kanakeshwar, Mangalore Taluk, Dindigul District, Sullia, Lunglei, Deban, Sikkim, Senapati, Ernakulam District, Krishnagiri District, Aluway, Malappuram District, Sindhudurg District, Raigad District, Upper Dzongu, Chittoor District, Chennai District, Bheemeshwari Fishing Camp, Thane District, Nilgiri District, Siju WLS, Tumkur District, Vellagavi Forest, Beluvai, Aralam WLS, Magadi Taluk, Lalbagh Botanical Gardens, Tungareshwar WLS, Om Shanthidhama"
Tongeia kala;"Kohima District, Peren District, India, Dzulekie, Nagaland, Benrue village"
Tongeia pseudozuthus;"Between Hunli and Anini, Arunachal Pradesh, India, Lower Dibang Valley District, Near Ithun Valley"
Troides aeacus;"Kohima District, Kamrup District, Phek District, Burnihat, Shathiiya, Near Shatuza Village, India, CASFOS campus, Alipurduar District, Buxa TR, Dzulekie, Assam, Namdapha NP, Paschimbanga, Arunachal Pradesh, Nagaland, Changlang District, Jayanti"
Troides helena;"Bhalukpong Ghat, Amtali, Balpakram NP, South Garo Hills District, Rangitnagar, South Sikkim District, Gomati, Hoollongapar Gibbon Sanctuary, Jayanti, Panda, South Andaman District, Sikkim, Tripura, Pakke TR, Buxa TR, South Tripura District, Paschimbanga, Alipurduar District, Gumti WLS, West Tripura District, Assam, Gongrot, Mount Harriet NP, India, Jorhat District, Meghalaya, East Kameng District, Arunachal Pradesh, Andaman and Nicobar Islands"
Troides minos;"Makkiyad, Vilangad, Perambra, Kanchipuram Urban District, Mananthavadi, South Goa District, Kerala, Madras Crocodile Bank, Thenmala, Chavara South, Karnataka, Ernakulam District, Sirsi, Cheriyanad, Neendapara, Banasura Sagar Dam, Cotigao WLS, Kallar-Ponmudi, Malappuram District, Sindhudurg District, Tamil Nadu, Alappuzha District, Uttara Kannada District, Dakshina Kannada District, Mararikkulam, Thiruvananthapuram  District, Goa, 13th Gate, Bangalore University Campus, Bengaluru Urban District, India, Vaniyambalam, Beluvai, Maharashtra, Amboli, Kozhikode District, Wayanad District, Mangalore Taluk, Kollam District, Sammilan Shetty's Butterfly Park, Neriamangalam Painavu Road"
Udara akasa;"Honey Valley, Eravangalar, Nagariar Estate, Karnataka, Mangaladevi, Periyar TR, Tamil Nadu, Kerala, Anamudi Shola NP, Virudhunagar District, Idukki District, India, Kodagu District, Mannavan Shola"
Udara albocaeruleus;"Dehradun District, East Khasi Hills District, West Kameng District, Lower Subansiri District, Benog WLS, Mawkdok, Himachal Pradesh, Hapoli, Cherrapunjee, Meghalaya, Mawkisyiem, Shimla District, Churdhar Sanctuary, Ziro, Eaglenest WLS, Arunachal Pradesh, India, Lama Camp, Uttarakhand"
Udara dilecta;"Chizami, Near Shatuza Village, South Garo Hills District, Lunkai Nullah, North Sikkim District, Darjeeling District, Changlang District, Jayanti, Uttarakhand, Deban, Baghmara RF, Karwani, Phek District, Sikkim, Buxa TR, Rishop, Paschimbanga, Senapati To Sorbung Road, Shatuza Village, Nagaland, Dzongu, Phuba, Nainital District, Alipurduar District, Namdapha NP, 22nd Mile, India, Manipur, Senapati District, Bhimtal, Rajabhatkhawa, Shathiiya, East Khasi Hills District, Bageshwar District, Cherrapunjee, Meghalaya, Rangrang, Arunachal Pradesh, Kapkote Village, Ring Khola"
